DATE,NCBDBIQ027S
2011-04-01,4060763.0
2011-07-01,4125320.0
2011-10-01,4156222.0
2012-01-01,4254591.0
2012-04-01,4319945.0
2012-07-01,4419258.0
2012-10-01,4505611.0
2013-01-01,4595336.0
2013-04-01,4650035.0
2013-07-01,4777538.0
2013-10-01,4798944.0
2014-01-01,4906476.0
2014-04-01,4975220.0
2014-07-01,5045312.0
2014-10-01,5121573.0
2015-01-01,5260856.0
2015-04-01,5414259.0
2015-07-01,5519370.0
2015-10-01,5547467.0
2016-01-01,5687449.0
2016-04-01,5776279.0
2016-07-01,5845859.0
2016-10-01,5835106.0
2017-01-01,5959269.0
2017-04-01,6021889.0
2017-07-01,6110906.0
2017-10-01,6137421.0
2018-01-01,6218665.0
2018-04-01,6213619.0
