AAPL
AMZN
MSFT
GOOGL
FB
JPM
JNJ
XOM
V
BAC
WMT
PFE
BRK.A
UNH
WFC
T
CVX
MA
VZ
HD
BA
CSCO
INTC
PG
KO
MRK
ORCL
C
DIS
CMCSA
NVDA
NFLX
PEP
ABBV
DWDP
IBM
AMGN
MCD
PM
MDT
NKE
ABT
ADBE
LLY
MMM
UNP
HON
MO
GE
RY
CRM
UTX
TD
ACN
BMY
QCOM
UPS
AVGO
TXN
GILD
LMT
COST
TMO
PYPL
COP
AXP
CAT
BKNG
LOW
USB
SLB
GS
FOX
NEE
CVS
MS
SBUX
EOG
CHTR
DHR
BLK
WBA
ANTM
BNS
SCHW
BIIB
TJX
KHC
BDX
CNI
AET
SYK
ADP
AGN
AMT
PNC
CSX
EPD
CB
SU
OXY
MDLZ
CME
CELG
VMW
FDX
GD
ISRG
ATVI
DUK
RTN
TMUS
MPC
ENB
UBS
INTU
CL
FOXA
NOC
PSX
ESRX
SPG
BK
BMO
CI
BSX
EL
NSC
VLO
MU
DE
HCA
D
AIG
EMR
ILMN
VRTX
SPGI
MET
PX
WPZ
HUM
CCI
GM
COF
LVS
ITW
TGT
TSLA
ECL
SO
BX
ZTS
PRU
CCL
ICE
BAM
CTSH
STZ
EXC
REGN
PLD
MMC
PGR
MAR
CM
KMI
KMB
SHW
HPQ
WM
BAX
LYB
BBT
AON
CNQ
SYY
TRP
AABA
HAL
ETN
VFC
AFL
ROST
APC
APD
AEP
BHGE
F
FIS
BCE
NTR
SQ
TRV
DAL
AMAT
PSA
ALL
LUV
MFC
WMB
EA
FCAU
EQIX
EBAY
STT
FISV
SCCO
TRI
JCI
NOW
ADI
CXO
PXD
KDP
SRE
CP
RACE
MNST
ADSK
MCO
EW
STI
WP
AMTD
ROP
CNC
ALXN
SPOT
YUM
ADM
TEL
WDAY
MPLX
OKE
DG
NXPI
ORLY
GLW
SIRI
FTV
ALGN
MCK
PEG
APH
AMD
TROW
DFS
S
PAYX
ETP
ZBH
GIS
IQV
RCL
DXC
PCG
IR
AVB
XEL
CLR
CMI
MTB
ED
EQR
DLR
K
PPG
WELL
SLF
RSG
PH
NTRS
PCAR
ANDV
WY
HPE
SYF
IBKR
TSN
EIX
DB
CTL
ROK
HLT
KR
FDC
COL
UAL
TWTR
A
LRCX
HSY
WEC
RHT
HES
HRL
KKR
CBS
KEY
PPL
GGP
CCE
AMP
TU
INFO
CERN
CTAS
LBTYB
RCI
NTAP
DTE
SWK
WCN
LBTYA
APTV
MSI
ETE
NUE
AZO
DVN
ES
RF
PANW
LULU
VRSK
LBTYK
DLTR
ABC
XLNX
BBY
MRO
HRS
IDXX
VTR
CLX
TEAM
FCX
FLT
FITB
APA
DVMT
GWW
WLTW
FE
GPN
BXP
CFG
BMRN
TDG
PAA
CA
DISCB
IP
HIG
EXPE
SEP
CHKP
VRSN
SBAC
MKC
ANET
MYL
MKC.V
AME
ABMD
BAP
PBA
LH
TXT
NOV
TSS
PFG
O
DISCA
SIVB
MGA
IAC
MKL
ESS
ULTA
LLL
AWK
CAH
AEE
BEN
OMC
NEM
L
DISH
FAST
MCHP
SWKS
WDC
CMA
CNHI
BLL
NBL
DISCK
WCG
AAL
MMP
MTCH
MELI
KLAC
FRC
GIB
EFX
EVRG
SPLK
LNC
RMD
ETR
TIF
LBRDA
HST
LBRDK
XL
MTD
DHI
MSCI
QSR
AGR
MGM
MXIM
IFF
BR
LEN
CHD
VIA
TTWO
CTXS
VMC
GPC
CMS
DGX
CNP
CBRE
WAT
ANSS
CSGP
FTNT
CAG
LSXMK
INCY
NDAQ
IT
TPR
RJF
ETFC
FTS
AJG
CE
XPO
ATUS
VEEV
VNO
SNPS
DRI
TECK
HSIC
XYL
CHRW
FANG
ARE
NLY
APO
TRU
ABX
SHOP
VST
TRGP
GDDY
WYNN
JBHT
ROL
YUMC
CF
CDW
HAS
COO
MOS
SSNC
GRMN
CINF
STX
DOV
URI
CNA
AAP
DVA
ADS
CMG
EXPD
SYMC
KMX
IEP
EMN
EQT
EQH
CVE
HCP
ODFL
MRVL
ANDX
JKHY
HFC
KEYS
CPRT
ECA
TLRY
MHK
NCLH
UHS
DPZ
SGEN
KSS
FMC
ACGL
PTC
